docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,tagset
uc1.32106015585968_1,uc1.32106015585968,38342,random,"(Aleksandra), Kollontaĭ, A",1872-1952.,New York|Seven Arts Publishing Company|1927.,1927,1927,,,NotFiction,"Red love, | $c: by Alexandra Kollontay.",{'random'}
uc1.32106015585968_0,uc1.32106015585968,35927,random,"(Aleksandra), Kollontaĭ, A",1872-1952.,New York|Seven Arts Publishing Company|1927.,1927,1927,,,NotFiction,"Red love, | $c: by Alexandra Kollontay.",{'random'}
uc1.b4127246,uc1.b4127246,35780,random,"Abbott, Jacob",,Boston;T.H. Carter & Company;1843.,1843,1843,,,,Marco Paul's adventures in pursuit of knowledge,{'random'}
uc2.ark+=13960=t5s75b83s_2,uc2.ark+=13960=t5s75b83s,51967,random,"Ainsworth, William Harrison",,London;New York;Routledge;1880.,1880,1863,,,,"Cardinal Pole; or, The days of Philip and Mary",{'random'}
uc2.ark+=13960=t5s75b83s_1,uc2.ark+=13960=t5s75b83s,51590,random,"Ainsworth, William Harrison",,London;New York;Routledge;1880.,1880,1863,,,,"Cardinal Pole; or, The days of Philip and Mary",{'random'}
uc2.ark+=13960=t5s75b83s_0,uc2.ark+=13960=t5s75b83s,53887,random,"Ainsworth, William Harrison",,London;New York;Routledge;1880.,1880,1863,,,,"Cardinal Pole; or, The days of Philip and Mary",{'random'}
uc2.ark+=13960=t0vq2tj52,uc2.ark+=13960=t0vq2tj52,25700,randomB,"Alder, William Fisher",,Los Angeles;Wayside Press;1921.,1921,1921,,,,The lagoon of desire,{'randomB'}
njp.32101067627099_1,njp.32101067627099,29390,random,"Anderson, Nephi",,"Salt Lake City, Utah;Bikuben Publishing Company;1921.",1921,1921,,Fiction;Mormons,,Dorian,{'random'}
njp.32101067627099_0,njp.32101067627099,30741,random,"Anderson, Nephi",,"Salt Lake City, Utah;Bikuben Publishing Company;1921.",1921,1921,,Fiction;Mormons,,Dorian,{'random'}
uc2.ark+=13960=t8rb6wm87_0,uc2.ark+=13960=t8rb6wm87,47883,random,"Arthur, T. S",,Philadelphia;Hubbard Brothers;1888.,1888,1888,,,,"The mother's rule, or, The right way and the wrong way",{'random'}
uc2.ark+=13960=t8rb6wm87_1,uc2.ark+=13960=t8rb6wm87,46062,random,"Arthur, T. S",,Philadelphia;Hubbard Brothers;1888.,1888,1888,,,,"The mother's rule, or, The right way and the wrong way",{'random'}
uva.x001038370_3,uva.x001038370,134947,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden,{'random'}
uva.x001038370_2,uva.x001038370,130650,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden,{'random'}
uva.x001038370_1,uva.x001038370,129877,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden,{'random'}
uva.x001038370_0,uva.x001038370,133158,random,"Auerbach, Berthold",,Boston;Roberts brothers;1869.,1869,1869,,,,Villa Eden,{'random'}
uc2.ark+=13960=t95719531,uc2.ark+=13960=t95719531,42424,randomB|juv,"Austin, Mary",,Boston;New York;Houghton Mifflin company;c1910,1910,1910,,,,The basket woman; a book of Indian tales for children,"{'juv', 'randomB'}"
uc2.ark+=13960=t7rn30r8z,uc2.ark+=13960=t7rn30r8z,40769,randomB,"Bacon, Josephine Daskam",,"New York;McClure, Phillips & Co.;1902.",1902,1902,,,,The madness of Philip,{'randomB'}
nyp.33433074801238_0,nyp.33433074801238,31013,random,"Baily, Waldron",,New York;Bedford;1918.,1918,1918,,,,When the cock crows,{'random'}
nyp.33433074801238_1,nyp.33433074801238,30836,random,"Baily, Waldron",,New York;Bedford;1918.,1918,1918,,,,When the cock crows,{'random'}
uc2.ark+=13960=t70v8dj10_1,uc2.ark+=13960=t70v8dj10,35912,randomB,"Baines, William Mortimer",,"London;Sampson Low, Marston, Low & Searle;1874.",1874,1874,,New Zealand;Social life and customs;Description and travel,,"The narrative of Edward Crewe; or, Life in New Zealand",{'randomB'}
