"docid","recordid","oclc","locnum","tags","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015078562264",1422199,48922409,,"sf_oclc","Paltock, Robert,",,"London;Printed for T. and J. Allman; [etc., etc.;1816.",1816,1816,"enk","v.1","Voyages, Imaginary",,"The life & adventures of Peter Wilkins"
"mdp.39015078562256",1422199,48922409,,"fantasy_oclc","Paltock, Robert,",,"London;Printed for T. and J. Allman; [etc., etc.;1816.",1816,1816,"enk","v.2","Voyages, Imaginary",,"The life & adventures of Peter Wilkins"
"mdp.39015004200997",1774603,14770844,,"fantasy_oclc","Shelley, Mary Wollstonecraft,",,"London;G. Routledge & sons, limited;1891.",1891,1817,"enk",,,,"Frankenstein"
"coo.31924075476956",12371976,26352473,"PR5162.M3 1992","sf_oclc","Peacock, Thomas Love,","1785-1866.","Felinfach|Llanerch Publishers|1992.",1992,1822,"enk",,,"Fiction","Maid Marian"
"uc1.32106001951109",7115377,3362428,,"fantasy_oclc","Scott, Walter, Sir,","1771-1832.","London|J. Calder|c1977.",1977,1830,"enk",,"Fiction|Fantasy fiction, English","Fiction","The supernatural short stories of Sir Walter Scott"
"uc1.$b807329",5900623,27483762,,"sf_oclc","Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,"pau",,"Utopias;Fiction",,"The Monikins"
"dul1.ark+=13960=t6ww82n4s",8961936,12851342,,"fantasy_loc|juv","Griffith, Mary,",,"Philadelphia;Carey, Lea & Blanchard;1836.",1836,1836,"pau",,"Science fiction, American",,"Camperdown, or, News from our neighbourhood"
"uc1.32106007514398",7118272,7991324,,"fantasy_oclc","Andersen, H. C. (Hans Christian),","1805-1875.","Harmondsworth, Middlesex|Penguin Books|1981.",1981,1844,"enk",,"Fairy tales|Denmark","NotFiction","Hans Andersen's fairy tales"
"mdp.39015067139173",1802370,19226000,,"sf_oclc|fantasy_oclc","Verne, Jules,","1828-1905.","Philadelphia|J.E. Potter & co.|n.d.",0,1855,"pau",,,"UnknownGenre","A winter amid the ice, & other thrilling stories. | $c: By Jules Verne..."
"uiuo.ark+=13960=t00z7vf65",1019889,550541,"PZ3.B790P (Office)","sf_oclc","Bronte, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,"enk","v. 1",,,"The professor"
