"docid","recordid","oclc","locnum","tags","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015006960606",356897,280319,"QA699.A13 1963","sf_bailey","Abbott, Edwin Abbott,","1838-1926.","New York|Barnes & Noble|1963",1963,1884,"nyu",,"Fourth dimension","NotFiction","Flatland; | a romance of many dimensions, | $c: with illus. by the author, a square (Edwin A. Abbott) With introd. by William Garnett."
"nyp.33433074792866",243144,4702602,"PS991.A95A4","sf_bailey","[Angelo]",,"New York;Hurst & co.;c1880",1880,1880,"nyu",,,,"The adventures of an atom"
"mdp.39015035490344",244528,4721739,,"sf_bailey","Arnold, Edwin Lester Linden,",,"New York;A. L. Burt co.;1890?",1890,1890,"nyu",,,,"The wonderful adventures of Phra the Phoenician"
"dul1.ark+=13960=t66401k8k",5082161,5934716,"HX811 1887.B2","sf_oclc|sf_bailey","Bellamy, Edward,",,"Boston;Ticknor and Co.;1888.",1888,1888,"mau",,"Social problems;Time travel;Utopias;Boston (Mass.);Two thousand, A.D;Fiction",,"Looking backward, 2000-1887"
"uc2.ark+=13960=t4mk65h9r",7652259,6535126,"PZ3.B4397I","sf_bailey","Bennet, Robert Ames,",,"Chicago;A. C. McClurg & Co.;1908.",1908,1908,"ilu",,,,"Into the primitive"
"inu.32000001384124",6058076,8813246,,"sf_bailey","Benson, Robert Hugh,",,"London;Hutchinson;1911?",1911,1911,"enk",,,,"The dawn of all"
"uva.x000885514",9789429,3265761,"PZ3.B479C2","sf_bailey","Bierce, Ambrose,",,"Washington;The Neale Publishing Company;1903.",1903,1893,"dcu",,,,"Can such things be?"
"mdp.39015019922320",281328,6340751,"PZ3.B5924A","sf_bailey","Blanchard, Henry Percy,",,"New York;Cochrane publishing company;1909.",1909,1909,"nyu",,,,"After the cataclysm;"
"dul1.ark+=13960=t1fj34z1f",10943835,7017241,"HX811 1871.L9","sf_bailey","Lytton, Edward Bulwer Lytton,",,"Edinburgh;London;W. Blackwood and sons;1871.",1871,1871,"stk",,"Utopias",,"The coming race"
"dul1.ark+=13960=t3jw91q2r",10942413,2735354,,"sf_bailey","Butler, Samuel,",,"London;Tr?_bner & Co. ...;1872.",1872,1872,"enk",,"Utopias",,"Erewhon, or, Over the range"
"mdp.39015063542149",122801,2917354,,"sf_bailey","Collins, Wilkie,",,"London;Chatto & Windus;1883.",1883,1883,"enk","v.3",,,"Heart and science;"
"uc1.b3470481",668531,1046822,"PZ3.C7737Ad20PS3505.O5593","sf_oclc|sf_bailey","Cook, William Wallace,","1867-1933.","New York|Arno Press|1975.",1975,1906,"nyu",,,"Fiction","Adrift in the unknown; | or, Queer adventures in a queer realm."
"uiuo.ark+=13960=t7cr65585",8722974,12076816,,"sf_loc|sf_bailey","Corelli, Marie,",,"London;Richard Bentley;1886.",1886,1886,"enk","v.2","Science fiction, English",,"A romance of two worlds"
"mdp.39015035777831",485454,1533779,"PR4525.D119Z6","supernat|sf_bailey","Dacre, Charlotte,","b. 1782.","London|The Fortune Press|1928",1928,1806,"enk",,,"Fiction","Zofloya; or, The moor, | $c: by Charlotte Dacre (better known as Rosa Matilda) with an introduction by the Rev. Montague Summers."
"nyp.33433074959747",8668181,1883146,,"sf_loc|sf_oclc|sf_bailey","De Mille, James,",,"New York;Harper;1900, c1888.",1888,1888,"nyu",,,,"A strange manuscript found in a copper cylinder"
"njp.32101064789157",6869714,4389802,,"sf_oclc|sf_bailey","Doyle, Arthur Conan,",,"New York;A.L. Burt Co., Publishers, published by arrangement with George H. Doran Company;c1912.",1912,1912,"nyu",,"Challenger, Professor (Fictitious character);Discovery and exploration;South America;Prehistoric peoples;Dinosaurs;Fiction",,"The lost world"
"uc2.ark+=13960=t2w37sx92",7695279,364129939,,"supernat|sf_bailey","Du Maurier, George,",,"London;J.R. Osgood, McIlvaine;1846.",1846,1846,"enk",,,,"Peter Ibbetson"
"nyp.33433075827018",6708866,2231489,"PZ3.F612O","sf_oclc|sf_bailey","Flammarion, Camille,",,"New York;Cosmopolitan Pub. Co.;c1894",1894,1894,"nyu",,,,"Omega: the last days of the world"
"hvd.32044009637083",9710338,40011848,,"sf_bailey","Fowler, George.",,"Baltimore;Printed and sold by A. Miltenberger;1813.",1813,1813,"mdu",,"Voyages, Imaginary;Moon",,"A flight to the moon, or, The vision of Randalthus"
"mdp.39015003686816",394625,8085145,"PZ3.F8806Mys 2","sf_bailey","Freeman, R. Austin (Richard Austin),","1862-1943.","New York|Dodd, Mead & co.|1930.",1930,1912,"nyu",,,"Fiction","The mystery of 31, New inn, | $c: by R. Austin Freeman."
"mdp.39015015233953",1827948,18069675,"PS3513.I594A8 1988","sf_bailey","Gillmore, Inez Haynes,","1873-1970.","New York, NY|New American Library|1988.",1988,1914,"nyu",,,"Fiction","Angel Island / | $c: by Inez Haynes Gillmore ; introduction by Ursula K. Le Guin."
"mdp.39015000619554",432058,1046826,"PZ3.G8605Mo5PR4728.G35","sf_bailey","Greer, Tom.",,"New York|Arno Press|1975.",1975,1887,"nyu",,,"Fiction","A modern Daedalus."
"dul1.ark+=13960=t2h713c5c",10943521,22402082,,"sf_bailey","Griffith, George Chetwynd.",,"London;Simpkin, Marshall, Hamilton, Kent and Co.;1897.",1897,1894,"enk",,"Utopias;Robinson, Ernest;Provenance",,"Olga Romanoff"
"coo.31924013476480",11405491,2014707,,"sf_bailey","Haggard, H. Rider",,"Leipzig;B. Tauchnitz;1886.",1886,1885,"gw ",,,,"King Solomon's mines"
"mdp.39015005277770",435207,17888226,,"sf_bailey","Hardy, Thomas,",,"Leipzig;B. Tauchnitz;1883.",1883,1882,"gw ","v.2",,,"Two on a tower"
"uc1.32106014427691",7122754,2755340,,"sf_bailey","Holmes, Oliver Wendell,",,"New York;Grosset and Dunlap;1883.",1883,1861,"   ",,,,"Elsie Venner;"
"uc1.b3579080",479094,274504,"PZ3.H84Un","supernat|sf_bailey","Howells, William Dean,",,"Boston;Houghton, Mifflin and company;1880.",1880,1880,"mau","c.2",,,"The undiscovered country"
"uc1.$b372446",9457925,10105959,,"sf_oclc|sf_bailey","Jefferies, Richard,",,"London;New York;Cassell;1886.",1886,1885,"enk",,,,"After London, or, Wild England"
"uva.x030580544",9776282,6542652,"PZ3.L846B","fantasy_oclc|sf_bailey","London, Jack,",,"New York;The Macmillan & co.;1919",1906,1906,"nyu",,,,"Before Adam"
"nyp.33433074875745",8666980,3111830,"PZ3.M144Po2","sf_bailey","MacDonald, George,",,"London;Smith, Elder and Co.;1864.",1864,1860,"enk",,"English fiction;Scottish authors",,"The portent"
"uc1.$b440754",9241525,22867821,,"sf_bailey","Mitchell, John Ames,",,"New York;F. A. Stokes;1891.",1891,1889,"nyu",,,,"The last American"
"dul1.ark+=13960=t7cr6hc61",10944200,4854933,,"sf_bailey","Morris, William,",,"London;Reeves & Turner;1891.",1891,1890,"enk",,"Utopias;Buckhurst, Helen Macmillan;Provenance",,"News from nowhere"
