"docid","recordid","oclc","locnum","author","imprint","inferreddate","authordate","firstpub","enumcron","place","genres","subjects","title","nationality","gender","tags"
"hvd.32044020321865",9721921,3859253,"<blank>","Vidocq, Eugène François,",,1834,,1829,,,,,"Memoirs of Vidocq","fr","m","detective"
"uc2.ark+=13960=t0bv79z1x",7682514,2612191,,"Poe, Edgar Allan,","London;Sid",1909,1809,1845,,,,,"Selected tales of mystery","us","m","detective"
"nyp.33433074954748",8668049,37223227,,"Dickens, Charles,","London;A. ",1904,1812,1853,,,,,"Bleak house","uk","m","detective"
"nyp.33433074929393",8663988,25494127,,"Williams, John Babbington","New York;D",1865,1827,1865,,,,"Detectives","Leaves from the note-book","us","m","detective"
"uc1.32106006960592",7103227,9618288,,"Gaboriau, Emile,","New York;S",1905,1832,1866,,,,,"The widow Lerouge","fr","m","detective"
"mdp.39015030307881",1212443,22904937,"PZ3.G113F6","Gaboriau, Emile,","Boston;Lit",1899,1832,1867,,,,,"File no. 113","fr","m","detective"
"nyp.33433075833354",1795880,30650664,,"Gaboriau, Emile,","New York;C",1906,1832,1867,,,,,"The mystery of Orcival","fr","m","detective"
"inu.30000007708815",6057734,876882,"PZ3.C697Mo2","Collins, Wilkie,","New York;H",1868,1824,1868,,,,,"The moonstone","uk","m","detective"
"uiuo.ark+=13960=t3223k32d",8723979,57296189,,"Speight, T. W.","London;Tin",1869,1830,1868,"v.2",,,,"Under lock and key; a sto","uk","m","detective"
"uc1.b3386909",6284127,2567964,"HV7914.M3","McWatters, George S","Hartford;J",1871,1812,1871,,,,"Detectives","Knots untied",,"m","detective"
"njp.32101067344661",8668910,37262147,,"Le Fanu, Joseph Sheridan,","Philadelph",1871,1814,1871,,,,"Irish fict","Checkmate","uk","m","detective"
"uc2.ark+=13960=t43r0q389",7670295,597310,,"Pinkerton, Allan,","New York;G",1903,1819,1875,,,,"Detectives","The somnambulist and the ","us","m","detective"
"nyp.33433075818801",8671972,22739476,"PZ3.D853G","Du Boisgobey, Fortun?,","Philadelph",1876,1821,1875,,,,"French fic","The golden tress","fr","m","detective"
"uc2.ark+=13960=t9474d81g",7692227,13352223,,"Russell, William Clark,","London;Cha",1898,1844,1876,,,,,"Is he the man?","uk","m","detective"
"njp.32101068784931",8975160,6383208,,"Pinkerton, Allan,","New York;G",1900,1819,1878,,,,"Correspond","Criminal reminiscences an","us","m","detective"
