docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
nyp.33433074915343_1,nyp.33433074915343,56365,supernat|fantasy_oclc|sf_oclc,"Morris, William,",,"New York;London;Bombay;Longmans, Green, and Co.;1897.",1897,1897,,,,The water of the Wondrous isles,1897,0.639850102330936,1
uc2.ark+=13960=t9r20w429,uc2.ark+=13960=t9r20w429,51243,supernat|fantasy_oclc|sf_oclc,"Stevenson, Robert Louis,",,London;Longmans;1901.,1901,1886,,,,The strange case of Dr. Jekyll and Mr. Hyde,1886,0.750376389314897,1
uc1.b4585229_1,uc1.b4585229,41873,fantasy_loc,,,Portmarnock [Ire.|Wolfhound Press|c1979.,1979,1894,,"Irish authors|English fiction|Fantasy fiction, English",Fiction,Irish masters of fantasy : | an anthology with introduction and biographical essays,1894,0.9725155731601582,1
nyp.33433074915343_0,nyp.33433074915343,55805,supernat|fantasy_oclc|sf_oclc,"Morris, William,",,"New York;London;Bombay;Longmans, Green, and Co.;1897.",1897,1897,,,,The water of the Wondrous isles,1897,0.7490073759415574,1
nyp.33433074878319_0,nyp.33433074878319,62256,fantasy_loc,"Le Queux, William,",,New York;F.A. Stokes.;c1895.,1895,1895,,"Fantasy fiction, English",,Zoraida,1895,0.8419657575413593,1
mdp.39015063759651_0,mdp.39015063759651,56944,fantasy_oclc,"Morris, William,",,London;Reeves and Turner;1889.,1889,1889,,,,A tale of the house of the Wolfings and all the kindreds of the mark,1889,0.9632825887235936,1
mdp.39015000638729,mdp.39015000638729,48977,fantasy_loc,"Le Fanu, Joseph Sheridan,",1814-1873.,New York|Garland Pub.|1979.,1978,1880,v.1,"Fantasy fiction, English",Fiction|Bibliographies,The Purcell papers,1880,0.5075072658793001,1
mdp.39015031602868_1,mdp.39015031602868,53523,fantasy_oclc|sf_oclc,"Verne, Jules,",1828-1905.,"New York|Dodd, Mead|1959].",1959,1864,,,Fiction,A journey to the centre of the earth.,1864,0.945720531256575,1
mdp.39015057979646_0,mdp.39015057979646,41023,fantasy_oclc,"Carroll, Lewis,",,London;New York;Macmillan and Co.;1889.,1889,1889,,,,Sylvie and Bruno,1889,0.17236950853808136,1
uc2.ark+=13960=t82j68r7z_1,uc2.ark+=13960=t82j68r7z,54439,fantasy_oclc,"Kip, Leonard,",,Albany;The Argus Co.;1878.,1878,1878,,,,Hannibal's man,1878,0.7199253937909011,1
uva.x000241492_1,uva.x000241492,38421,fantasy_oclc,"Verne, Jules,",,Philadelphia;Porter & Coates;1873,1873,1872,,,,Around the world in eighty days,1872,0.24014343909982205,1
uc2.ark+=13960=t82j68r7z_0,uc2.ark+=13960=t82j68r7z,52364,fantasy_oclc,"Kip, Leonard,",,Albany;The Argus Co.;1878.,1878,1878,,,,Hannibal's man,1878,0.6526364500728101,1
uc1.$b807329_1,uc1.$b807329,55921,fantasy_oclc,"Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,,Utopias;Fiction,,The Monikins,1835,0.291503371492392,1
mdp.39015031602868_0,mdp.39015031602868,50725,fantasy_oclc|sf_oclc,"Verne, Jules,",1828-1905.,"New York|Dodd, Mead|1959].",1959,1864,,,Fiction,A journey to the centre of the earth.,1864,0.8538679569822449,1
uc1.b117774_1,uc1.b117774,42952,fantasy_oclc|sf_oclc,"Verne, Jules,",,"London;S. Low, Marston, Searle & Rivington;1887.",1887,1886,,,,The clipper of the clouds,1886,0.8876783574010909,1
nyp.33433034410229_2,nyp.33433034410229,81041,fantasy_oclc,"Corelli, Marie,",,London;Richard Bentley & Son;1890.,1890,1890,,English fiction,,"Ardath, the story of a dead self",1890,0.566664916088411,1
mdp.39015000638554,mdp.39015000638554,48243,fantasy_loc,"Le Fanu, Joseph Sheridan,",1814-1873.,New York|Garland Pub.|1979.,1978,1880,v.3,"Fantasy fiction, English",Fiction|Bibliographies,The Purcell papers,1880,0.24251290344127738,1
mdp.39015059791767_0,mdp.39015059791767,66409,fantasy_oclc,"Haggard, H. Rider",,"Leipzig;London;Heinemann and Balestier, limited;1891.",1891,1890,,,,Eric Brighteyes,1890,0.8667690121613414,1
nyp.33433074939723_0,nyp.33433074939723,38584,fantasy_loc,"Besant, Walter,",,New York;Harper;1888.,1888,1888,,"Fantasy fiction, English",,The inner house,1888,0.669032388184827,1
nyp.33433034410229_0,nyp.33433034410229,81881,fantasy_oclc,"Corelli, Marie,",,London;Richard Bentley & Son;1890.,1890,1890,,English fiction,,"Ardath, the story of a dead self",1890,0.9243987788639003,1
mdp.39015063759651_1,mdp.39015063759651,52797,fantasy_oclc,"Morris, William,",,London;Reeves and Turner;1889.,1889,1889,,,,A tale of the house of the Wolfings and all the kindreds of the mark,1889,0.9088278590775595,1
uc1.32106007308551_0,uc1.32106007308551,45358,fantasy_loc,"Oliphant, (Margaret), Mrs.",1828-1897.,Edinburgh|Scottish Academic|1985.,1985,1898,,"Fantasy fiction, English",Fiction,Selected short stories of the supernatural,1898,0.5290790581817696,1
nyp.33433034410229_1,nyp.33433034410229,83038,fantasy_oclc,"Corelli, Marie,",,London;Richard Bentley & Son;1890.,1890,1890,,English fiction,,"Ardath, the story of a dead self",1890,0.7775760860622521,1
uc2.ark+=13960=t9183968r,uc2.ark+=13960=t9183968r,45004,fantasy_oclc,"Grahame, Kenneth,",,Chicago;Stone & Kimball;1895.,1895,1895,,,,The golden age,1895,0.6500767538741028,1
uc1.32106007308551_1,uc1.32106007308551,47820,fantasy_loc,"Oliphant, (Margaret), Mrs.",1828-1897.,Edinburgh|Scottish Academic|1985.,1985,1898,,"Fantasy fiction, English",Fiction,Selected short stories of the supernatural,1898,0.1558170401341233,1
mdp.39015059791767_1,mdp.39015059791767,69305,fantasy_oclc,"Haggard, H. Rider",,"Leipzig;London;Heinemann and Balestier, limited;1891.",1891,1890,,,,Eric Brighteyes,1890,0.8884343443134204,1
nyp.33433074915343_2,nyp.33433074915343,55887,supernat|fantasy_oclc|sf_oclc,"Morris, William,",,"New York;London;Bombay;Longmans, Green, and Co.;1897.",1897,1897,,,,The water of the Wondrous isles,1897,0.7137797082520001,1
uc2.ark+=13960=t9474806n_0,uc2.ark+=13960=t9474806n,33022,fantasy_oclc,"Van der Naillen, A.",,San Francisco;W. Doxey;1896 [c1895,1896,1896,,,,In the sanctuary,1896,0.815590781595814,1
nyp.33433074875372,nyp.33433074875372,39178,fantasy_oclc,"Lytton, Edward Robert Bulwer Lytton,",,London;Chapman;1863.,1863,1863,v. 1,English fiction,,The ring of Amasis,1863,0.8616243687692365,1
dul1.ark+=13960=t6ww82n4s_0,dul1.ark+=13960=t6ww82n4s,54927,fantasy_loc,"Griffith, Mary,",,"Philadelphia;Carey, Lea & Blanchard;1836.",1836,1836,,"Science fiction, American",,"Camperdown, or, News from our neighbourhood",1836,0.16130752198300674,1
coo.31924075476956,coo.31924075476956,45629,fantasy_oclc,"Peacock, Thomas Love,",1785-1866.,Felinfach|Llanerch Publishers|1992.,1992,1822,,,Fiction,Maid Marian,1822,0.49815249664159944,1
inu.30000111816496_1,inu.30000111816496,68802,fantasy_oclc,"Chambers, Robert W. (Robert William),",1865-1933.,New York|Dover Publications|1970,1970,1895,,"Horror tales, American",Fiction,"The king in yellow, | and other horror stories. | $c: Selected with an introd. by E. F. Bleiler.",1895,0.8632723152409822,1
uiuo.ark+=13960=t5v70457m_1,uiuo.ark+=13960=t5v70457m,33411,fantasy_oclc,"Bronte, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,v. 2,,,The professor,1857,0.4318838889444486,1
inu.30000111816496_0,inu.30000111816496,69048,fantasy_oclc,"Chambers, Robert W. (Robert William),",1865-1933.,New York|Dover Publications|1970,1970,1895,,"Horror tales, American",Fiction,"The king in yellow, | and other horror stories. | $c: Selected with an introd. by E. F. Bleiler.",1895,0.7885568029973613,1
nyp.33433074876164_1,nyp.33433074876164,42439,fantasy_oclc|sf_oclc,"Machen, Arthur,",,London;J. Lane;Boston;Roberts bros.;1895.,1895,1895,,,,The three impostors;,1895,0.9410878509916074,1
uc2.ark+=13960=t9474806n_1,uc2.ark+=13960=t9474806n,30493,fantasy_oclc,"Van der Naillen, A.",,San Francisco;W. Doxey;1896 [c1895,1896,1896,,,,In the sanctuary,1896,0.882496431517612,1
inu.32000000659617_0,inu.32000000659617,30327,fantasy_oclc,"Sharp, William,",,"Boston;Roberts Bros.; [etc., etc.;1895.",1895,1895,,,,The mountain lovers,1895,0.9903862145760677,1
nyp.33433074935127_1,nyp.33433074935127,34690,fantasy_loc,"Capes, Bernard Edward Joseph,",,New York;Doubleday & McClure;1899.,1899,1899,,"Fantasy fiction, English",,At a winter's fire,1899,0.8291180112979406,1
mdp.39015003852855_0,mdp.39015003852855,52549,fantasy_oclc,"MacDonald, George,",1824-1905.,London|Gollanez|1961.,1961,1868,,,UnknownGenre,"The light princess, | and other tales, being the complete fairy stories of George Macdonald. | $c: With original illus. by Arthur Hughes. Introd. by Roger Lancelyn Green.",1868,0.7441499001761793,1
uc2.ark+=13960=t79s1rx9c_0,uc2.ark+=13960=t79s1rx9c,29438,fantasy_oclc,"Morris, William,",,"Portland, Maine;Thomas B. Mosher;1900.",1900,1895,,,,Child Christopher and Goldilind the fair,1895,0.7374232333119776,1
nyp.33433074935127_0,nyp.33433074935127,33452,fantasy_loc,"Capes, Bernard Edward Joseph,",,New York;Doubleday & McClure;1899.,1899,1899,,"Fantasy fiction, English",,At a winter's fire,1899,0.9816493672787594,1
uc1.l0063361513,uc1.l0063361513,36236,fantasy_oclc,"Bangs, John Kendrick,",,"New York;London;Harper & brothers;1900, c1899.",1899,1899,,,,The enchanted typewriter,1899,0.3857567303444278,1
uc2.ark+=13960=t17m0k93z_0,uc2.ark+=13960=t17m0k93z,42062,fantasy_oclc,"MacDonald, George,",,Boston;Loring;185-?,1850,1858,,,,Phantastes: A faerie romance for men and women,1858,0.9617932429025232,1
nyp.33433074878335_1,nyp.33433074878335,38888,fantasy_loc,"Le Queux, William,",,New York;Frederick A. Stokes;c1895,1895,1895,,"Fantasy fiction, English",,Stolen souls,1895,0.34831481966875166,1
