docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
mdp.39015040542139_0,mdp.39015040542139,63940,fantasy_loc,,,New York|Avon Books|c1997.,1997,1997,,"Fairy tales|Adaptations|Fantasy fiction, American",Fiction,"Black swan, white raven",1997,0.7446368787415645,1
uc1.b4431356_0,uc1.b4431356,47394,fantasy_oclc,"LaFarge, Tom.",,"Los Angeles, Calif.|Sun & Moon Press|1993-",0,1993,v.1,,Fiction,The crimson bears,1993,0.9994011089157627,1
mdp.39015054262376_1,mdp.39015054262376,66948,fantasy_loc,,,New York|Ace Books|c1991.,1991,1991,,Fantasy fiction|Humor in literature,Short stories,"Smart dragons, foolish elves",1991,0.8471946369721944,1
mdp.39015060563213_0,mdp.39015060563213,37118,fantasy_loc,"Schweitzer, Darrell,",1952-,"Berkeley Heights, NJ|Wildside Press|1999.",1999,1999,,"Fantasy fiction, American",Short stories,Necromancies and netherworlds : | uncanny stories,1999,0.9998337203464801,1
mdp.39015040542139_1,mdp.39015040542139,62234,fantasy_loc,,,New York|Avon Books|c1997.,1997,1997,,"Fairy tales|Adaptations|Fantasy fiction, American",Fiction,"Black swan, white raven",1997,0.9455673059856355,1
mdp.39015063166436_1,mdp.39015063166436,56955,fantasy_loc|sf_loc,,,"Farmingdale, NY|Padwolf Pub.|1998-",0,1998,v.1,"Detective and mystery stories, American|Fantasy fiction, American|Science fiction, American",Mixed,"The Best of pirate writings : | tales of fantasy, mystery & science fiction",1998,0.9171655055129982,1
mdp.49015002699131_2,mdp.49015002699131,78394,fantasy_loc,,,New York|Vintage International|1998.,1998,1998,,Fiction|Translations into English|Fantasy fiction|19th century,NotFiction,Fantastic tales : | visionary and everyday,1998,0.979119113929989,1
mdp.39015056214490_1,mdp.39015056214490,78156,fantasy_loc,"Powers, Tim,",1952-,"New York|Avon Books|1996, c1992.",1996,1996,,"Fiction|Poker|Gambling|Paranormal fiction|Tarot (Game)|Fantasy fiction, American",Fiction,Last call,1996,0.2807636888446121,1
mdp.39015041124887_0,mdp.39015041124887,42058,fantasy_oclc,"Carmody, Isobelle.",,"Ringwood, Vic.|Viking|1996.",1996,1996,,,NotFiction,Green monkey dreams : | stories,1996,0.9089899196117773,1
mdp.39015064125274_0,mdp.39015064125274,42966,fantasy_loc,"Schweitzer, Darrell,",1952-,"Buffalo, N.Y.|W. Paul Ganley|1993.",1993,1993,,"Horror tales, American|Fantasy fiction, American",Short stories,"Transients, and other disquieting stories",1993,0.8654255694156634,1
mdp.39015028914631_0,mdp.39015028914631,47298,fantasy_oclc,"Barrett, Neal.",,"Shingletown, CA|M.V. Ziesing|1991.",1991,1991,,,Fiction,The hereafter gang,1991,0.11313192419091543,1
