docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
coo.31924075476956,coo.31924075476956,45629,fantasy_oclc,"Peacock, Thomas Love,",1785-1866.,Felinfach|Llanerch Publishers|1992.,1992,1822,,,Fiction,Maid Marian,1822,0.8566673670615016,1
uc1.31158001441749_0,uc1.31158001441749,33430,supernat,"Maturin, Charles Robert,",,"Edinburgh;A. Constable and Company; [etc., etc.;1821.",1821,1821,v.0001,,,Melmoth the wanderer: a tale,1821,0.6303787961993222,1
uc1.31158001441749_1,uc1.31158001441749,35286,supernat,"Maturin, Charles Robert,",,"Edinburgh;A. Constable and Company; [etc., etc.;1821.",1821,1821,v.0001,,,Melmoth the wanderer: a tale,1821,0.5039374151535326,1
njp.32101072759879_0,njp.32101072759879,67035,supernat,"Scott, Walter,",,Edinburgh;A. and C. Black;1868.,1868,1825,,,,The talisman,1825,0.4497793836829361,1
uc1.$b807329_0,uc1.$b807329,56487,fantasy_oclc,"Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,,Utopias;Fiction,,The Monikins,1835,0.14645621992480204,1
uc1.32106001951109_0,uc1.32106001951109,35369,fantasy_oclc,"Scott, Walter, Sir,",1771-1832.,London|J. Calder|c1977.,1977,1830,,"Fiction|Fantasy fiction, English",Fiction,The supernatural short stories of Sir Walter Scott,1830,0.7812696424834432,1
njp.32101072759879_2,njp.32101072759879,56180,supernat,"Scott, Walter,",,Edinburgh;A. and C. Black;1868.,1868,1825,,,,The talisman,1825,0.7449084287931677,1
uc1.32106001951109_1,uc1.32106001951109,38846,fantasy_oclc,"Scott, Walter, Sir,",1771-1832.,London|J. Calder|c1977.,1977,1830,,"Fiction|Fantasy fiction, English",Fiction,The supernatural short stories of Sir Walter Scott,1830,0.48012143418985737,1
njp.32101072759879_1,njp.32101072759879,71270,supernat,"Scott, Walter,",,Edinburgh;A. and C. Black;1868.,1868,1825,,,,The talisman,1825,0.5965999866423395,1
uc1.$b807329_1,uc1.$b807329,55921,fantasy_oclc,"Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,,Utopias;Fiction,,The Monikins,1835,0.07603771189016016,1
uc1.$b807329_2,uc1.$b807329,56949,fantasy_oclc,"Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,,Utopias;Fiction,,The Monikins,1835,0.06283443464133659,1
inu.32000000646093_1,inu.32000000646093,70482,supernat,"Sue, Eugène,",,London;Chapman and Hall;1844-1845.,1844,1844,v.1-2,Wandering Jew;Fiction,,The wandering Jew,1844,0.5571356752544855,1
mdp.39015011608810,mdp.39015011608810,27492,supernat,"Eliot, George,",1819-1880.,"New York, N.Y.|Penguin Books--Virago Press|1985.",1985,1859,,,Fiction,The lifted veil / | $c: George Eliot ; with a new afterword by Beryl Gray.,1859,0.687062696875628,1
dul1.ark+=13960=t50g4f66g_1,dul1.ark+=13960=t50g4f66g,72831,supernat,"Lytton, Edward Bulwer Lytton,",,,1863,1862,,,,A strange story,1862,0.634162742722169,1
dul1.ark+=13960=t50g4f66g_2,dul1.ark+=13960=t50g4f66g,70967,supernat,"Lytton, Edward Bulwer Lytton,",,,1863,1862,,,,A strange story,1862,0.4553242382495712,1
inu.32000000646093_0,inu.32000000646093,67644,supernat,"Sue, Eugène,",,London;Chapman and Hall;1844-1845.,1844,1844,v.1-2,Wandering Jew;Fiction,,The wandering Jew,1844,0.6341674761038449,1
uc1.31822038205001_1,uc1.31822038205001,39876,supernat|sf_bailey,"Poe, Edgar Allan,",,London;Wiley and Putnam;1838,1838,1838,,,,"The narrative of Arthur Gordon Pym [pseud.] of Nantucket, North America",1838,0.012900777805959192,1
