"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"uc1.$b807329",5900623,27483762,,"fuzzymatch","Cooper, James Fenimore,",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,"pau",,"Utopias;Fiction",,"The Monikins"
"uiuo.ark+=13960=t00z7vf65",1019889,550541,"PZ3.B790P (Office)","fuzzymatch","Bronte, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,"enk","v. 1",,,"The professor"
"nyp.33433074930086",8664216,6623399,,"fuzzymatch","Bronte, Charlotte,",,"Leipzig;B. Tauchnitz;1857.",1857,1857,"gw ",,,,"The professor"
"uc2.ark+=13960=t17m0k93z",7701214,13315527,,"fuzzymatch","MacDonald, George,",,"Boston;Loring;185-?",1850,1858,"mau",,,,"Phantastes: A faerie romance for men and women"
"uiuo.ark+=13960=t5v70457m",1019889,550541,"PZ3.B790P (Office)","fuzzymatch","Bronte, Charlotte,",,"London;Smith, Elder & co.;1857.",1857,1857,"enk","v. 2",,,"The professor"
"uva.x004152854",9787447,6958548,,"fuzzymatch","Carroll, Lewis,",,"Philadelphia;H. Altemus;c1896.",1896,1865,"pau",,,,"Alice's adventures in Wonderland"
"nyp.33433074875372",8666116,13311464,,"oclcid","Lytton, Edward Robert Bulwer Lytton,",,"London;Chapman;1863.",1863,1863,"enk","v. 1","English fiction",,"The ring of Amasis"
"nnc1.cr00352934",8412806,82117052,,"taggedfantasy","Kingsley, Charles,",,"New York;Hurst and Co.;1900?].",1900,1863,"nyu",,"Chimney sweeps;Fairies;Juvenile fiction;Fantasy fiction",,"The water-babies"
"mdp.39015003852855",1417619,7880315,,"fuzzymatch","MacDonald, George,","1824-1905.","London|Gollanez|1961.",1961,1868,"enk",,,"UnknownGenre","The light princess, | and other tales, being the complete fairy stories of George Macdonald. | $c: With original illus. by Arthur Hughes. Introd. by Roger Lancelyn Green."
"uc2.ark+=13960=t6c24rn6k",7666137,22397624,,"fuzzymatch","Lucas, John Templeton.",,"London;Warne;1871",1871,1869,"enk",,,,"Prince Ubbely Bubble's new story book"
"mdp.39015031602868",1015188,2360175,"PZ3.V594J8","fuzzymatch","Verne, Jules,","1828-1905.","New York|Dodd, Mead|1959].",1959,1864,"nyu",,,"Fiction","A journey to the centre of the earth."
"uva.x000241492",9784707,1621846,,"fuzzymatch","Verne, Jules,",,"Philadelphia;Porter & Coates;1873",1873,1872,"xx ",,,,"Around the world in eighty days"
"njp.32101075985729",10250470,4815457,,"fuzzymatch","Carroll, Lewis,",,"New York;Macmillan & co.;1875.",1875,1871,"nyu",,,,"Through the looking-glass"
"njp.32101013998032",8884394,5655591,,"fuzzymatch","Ritchie, Anne Thackeray,",,"New York;Harper;1875.",1875,1875,"nyu",,,,"Bluebeard's keys, and other stories"
"uc2.ark+=13960=t82j68r7z",7681086,363110606,,"fuzzymatch","Kip, Leonard,",,"Albany;The Argus Co.;1878.",1878,1878,"xx ",,,,"Hannibal's man"
"mdp.39015083456759",9181234,7089731,"PZ7.M732Cu4","taggedfantasy","Molesworth, Mary Louisa",,"Philadelphia;J.B. Lippincott Co.;1914;(5th impression)",1914,1877,"pau",,"Behavior;Cuckoos;Clocks and watches;Juvenile fiction;Fantasy fiction",,"The cuckoo clock"
"mdp.39015066637433",1417627,23468897,,"fuzzymatch","MacDonald, George,",,"Philadelphia;J.B. Lippincott;190?",1900,1872,"pau",,,,"The princess and the goblin"
"nyp.33433074896071",8666765,4886024,,"fuzzymatch","MacDonald, George,",,"New York;A.L. Burt, Publisher;1890?",1890,1871,"nyu",,"English fiction",,"At the back of the north wind"
"mdp.39015063921244",321824,8617668,,"fuzzymatch","Leland, Charles Godfrey,",,"London;Macmillan & co.;1877.",1877,1877,"enk",,,,"Johnnykin and the goblins"
"uc2.ark+=13960=t5q817t6c",7679088,20175236,,"oclcid","Corkran, Alice",,"New York;A.L. Burt;1896",1896,1886,"nyu",,,,"Down the snow stairs, or, From good-night to good-morning"
"uc1.b117774",6610336,18939696,,"fuzzymatch","Verne, Jules,",,"London;S. Low, Marston, Searle & Rivington;1887.",1887,1886,"enk",,,,"The clipper of the clouds"
