idx,schemes,title,format,author,holdings,editions,hyr,lyr,owi,itemtype,wi
0,DDC LCC,"Gulliver's travels: an authoritative text, the correspondence of Swift, Pope's verses on Gulliver's travels [and] critical essays.",eBook,"Swift, Jonathan, 1667-1745 | Turner, Paul, 1917-2005 [Editor; Other] | Rawson, Claude Julien [Editor; Author of introduction] | Higgins, Ian [Editor; Author of introduction] | DeMaria, Robert, 1948- [Writer of accompanying material; Editor; Commentator for written text; Author of introduction] | Eichenberg, Fritz, 1901-1990 [Illustrator]",51595,6334,2017,1700,2829754705,itemtype-book-digital,1000484
1,DDC LCC,The Wizard of Oz,eBook,"Baum, L. Frank (Lyman Frank), 1856-1919 | Denslow, W. W. 1856-1915 [Illustrator; Contributor; Author] | Copelman, Evelyn [Illustrator] | Zwerger, Lisbeth [Illustrator; Author] | Hearn, Michael Patrick [Editor; Author of introduction] | Wolstenholme, Susan, 1949- [Editor]",29471,1825,2017,0420,1864569082,itemtype-book-digital,10178435
2,DDC,"The hobbit, or, There and back again",Book,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973 | Lee, Alan [Illustrator] | Potts, Stephen W., 1949- [Editor] | Figueroa, Manuel [Translator]",28972,1497,2017,1433,3861308087,itemtype-book,10579896
3,DDC LCC,The wind in the willows,eBook,"Grahame, Kenneth, 1859-1932 | Shepard, Ernest H. 1879-1976 [Illustrator; Author] | University of Virginia. | Rackham, Arthur, 1867-1939 [Illustrator] | Hunt, Peter, 1945- | Tudor, Tasha [Illustrator]",28390,1713,2017,1900,87688,itemtype-book-digital,10068332
4,DDC LCC,Peter Pan,eBook,"Barrie, J. M. (James Matthew), 1860-1937 | Unwin, Nora S. 1907-1982 [Illustrator] | Bedford, F. D. [Illustrator] | Zallinger, Jean [Illustrator] | McKowen, Scott [Illustrator] | Barrie, J. M. 1860-1937 [Author; Contributor; Creator; Bibliographic antecedent; Other]",21280,1935,2017,1006,1960667318,itemtype-book-digital,10189295
5,DDC LCC,Harry Potter and the Chamber of Secrets,Book,"Rowling, J. K. | GrandPré, Mary [Illustrator] | Muñoz García, Adolfo [Translator] | Martín Azofra, Nieves [Translator] | Ménard, Jean-François [Translator] | Fritz, Klaus [Translator]",18200,750,2017,1901,3810426007,itemtype-book,135498822
6,DDC LCC,A journey to the centre of the earth,Book,"Verne, Jules, 1828-1905 | Malleson, F. A. [Illustrator; Translator] | Baldick, Robert [Translator] | McKowen, Scott [Illustrator] | Butcher, William, 1951- [Redactor; Translator] | Riou, Edouard, 1833-1900 [Illustrator]",17781,1472,2017,1000,25765616,itemtype-book,100339620
7,DDC LCC,"The lion, the witch, and the wardrobe",Book,"Lewis, C. S. (Clive Staples), 1898-1963 | Baynes, Pauline [Illustrator; Author; Contributor; Other] | Gallart, Gemma [Translator]",17129,483,2016,1950,587695,itemtype-book,123552009
8,DDC LCC,The annotated Alice: Alice's adventures in Wonderland &amp; Through the looking glass,eBook,"Carroll, Lewis, 1832-1898 | Tenniel, John, 1820-1914 [Associated name; Illustrator; Author] | Gardner, Martin, 1914-2010 [Commentator; Annotator; Editor; Author of introduction; Other] | Newell, Peter, 1862-1924 [Illustrator] | Rackham, Arthur, 1867-1939 [Illustrator] | Dobson, Austin, 1840-1921 [Author]",16571,990,2013,1800,2564809271,itemtype-book-digital,11214731
9,DDC LCC,The return of the king : being the third part of The lord of the rings,Book,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973 | Lee, Alan [Illustrator; Cover designer]",15442,463,2014,1954,2095338866,itemtype-book,1080123
10,DDC LCC,Harry Potter and the prisoner of Azkaban,Book,"Rowling, J. K. | Muñoz García, Adolfo [Translator] | Martín Azofra, Nieves [Translator] | Ménard, Jean-François [Translator] | Fritz, Klaus, [Translator] | Riglietti, Serena [Illustrator]",15331,635,2077,1999,3770153674,itemtype-book,137335434
11,DDC LCC,Harry Potter and the goblet of fire,Book,"Rowling, J. K. | GrandPré, Mary [Illustrator] | Ménard, Jean-François [Translator] | Muñoz García, Adolfo [Translator] | Martín Azofra, Nieves [Translator] | Buddingh', Wiebe, 1957- [Translator]",14688,610,2016,1997,3578903916,itemtype-book,155844224
12,DDC LCC,Where the wild things are.,Book,"Sendak, Maurice",13668,491,2016,1963,297853,itemtype-book,10830050
13,DDC LCC,The ruins of Gorlan,Book,"Flanagan, John (John Anthony)",13477,166,2015,2001,103291428,itemtype-book,124959511
14,DDC LCC,The two towers; being the second part of The Lord of the rings.,Book,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973 | Lee, Alan [Illustrator]",13201,421,2014,1919,2908720259,itemtype-book,1067668
15,DDC LCC,The fellowship of the ring : being the first part of The lord of the rings,Book,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973 | Lee, Alan [Illustrator]",13162,452,2014,1954,377215404,itemtype-book,1098874
16,DDC LCC,The magician's nephew,Book,"Lewis, C. S. (Clive Staples), 1898-1963 | Baynes, Pauline [Illustrator; Author] | Gallart, Gemma [Translator] | Hohlbein, Wolfgang, 1953- [Translator; Contributor] | Rendel, Christian [Translator; Contributor] | Mi, Youmei",13154,477,8950,0720,3133642096,itemtype-book,10861636
17,DDC LCC,Harry Potter and the Order of the Phoenix,Book,"Rowling, J. K. | GrandPré, Mary [Illustrator] | Rovira Ortega, Gemma [Translator] | Ménard, Jean-François [Translator] | Fritz, Klaus, [Translator] | Polkowski, Andrzej",13124,442,2546,2000,3779222179,itemtype-book,144677230
18,DDC LCC,James and the giant peach : a children's story,Book,"Dahl, Roald | Blake, Quentin [Illustrator; Translator; Author; Other] | Burkert, Nancy Ekholm [Illustrator] | Smith, Lane [Illustrator]",12358,417,2017,1961,573443,itemtype-book,10224120
19,DDC LCC,The horse and his boy,Book,"Lewis, C. S. (Clive Staples), 1898-1963 | Baynes, Pauline [Illustrator; Author]",12089,425,2017,0720,527816,itemtype-book,11551825
20,DDC LCC,The voyage of the Dawn Treader,Book,"Lewis, C. S. (Clive Staples), 1898-1963 | Baynes, Pauline [Illustrator; Author]",12002,401,2015,0720,527750,itemtype-book,11582203
21,DDC LCC,The last battle,Book,"Lewis, C. S. (Clive Staples), 1898-1963 | Baynes, Pauline [Artist; Illustrator; Author]",11781,394,2016,1950,865244,itemtype-book,11551815
22,DDC LCC,The silver chair,Book,"Lewis, C. S. (Clive Staples), 1898-1963 | Baynes, Pauline [Illustrator; Author]",11774,443,2016,0720,527886,itemtype-book,123438359
23,DDC LCC,Prince Caspian : the return to Narnia,Book,"Lewis, C. S. (Clive Staples), 1898-1963 | Baynes, Pauline [Illustrator; Author]",11540,293,2014,1950,2790656012,itemtype-book,11582263
24,DDC LCC,Harry Potter and the Half-Blood Prince,Book,"Rowling, J. K. | GrandPré, Mary [Illustrator] | Rovira Ortega, Gemma [Translator] | Ménard, Jean-François [Translator] | Fritz, Klaus [Translator; Author] | Masini, Beatrice [Translator]",11520,385,2017,2000,3754762440,itemtype-book,133112184
25,DDC LCC,The Borrowers,Book,"Norton, Mary | Krush, Beth [Illustrator; Author] | Krush, Joe [Illustrator; Author] | Stanley, Diana L. [Illustrator] | Dziubak, Emilia [Illustrator] | Jung, Christiane [Translator]",10776,313,2016,1952,154867,itemtype-book,12473130
26,DDC LCC,Harry Potter and the Deathly Hallows,Book,"Rowling, J. K. | GrandPré, Mary [Illustrator] | Ménard, Jean-François [Translator] | Rovira Ortega, Gemma [Translator; Author] | Fritz, Klaus, [Translator] | Polkowski, Andrzej [Translator]",10730,298,2017,2004,3756773828,itemtype-book,123892299
27,DDC LCC,The twenty-one balloons,Book,"Pène du Bois, William, 1916-1993 | Angelo, Valenti, 1897-1982 [Illustrator]",10215,170,2007,1936,932125,itemtype-book,11678957
28,DDC LCC,The lightning thief,Book,"Riordan, Rick | Futaki, Attila [Illustrator] | Aguilera, Libertad [Translator; Author]",9786,196,2016,2005,2564930707,itemtype-book,181530556
29,DDC,Artemis Fowl,Audiobook on CD,"Colfer, Eoin",9346,197,2015,1000,1152099289,itemtype-audiobook-cd,122942999
30,DDC LCC,Vathek,eBook,"Beckford, William, 1760-1844 | Henley, Samuel, 1740-1815 [Translator] | Lonsdale, Roger [Editor; Author of introduction] | Grimsditch, Herbert B. 1898- [Translator] | Graham, Kenneth W. [Editor; Other] | Marzials, Frank T. 1840-1912 [Translator]",9211,574,2017,1760,1755062521,itemtype-book-digital,10604237
31,DDC LCC,The golden compass,Book,"Pullman, Philip, 1946-",9171,282,2016,1982,3376157456,itemtype-book,162298779
32,DDC LCC,Through the looking-glass and what Alice found there,eBook,"Carroll, Lewis, 1832-1898 | Tenniel, John, 1820-1914 [Illustrator; Translator; Creator; Author of introduction] | Kredel, Fritz, 1900-1973 [Illustrator] | Dalziel, Edward, 1817-1905 [Engraver; Illustrator] | Dalziel, George, 1815-1902 [Engraver; Illustrator] | Henry Altemus Company [Publisher]",9065,717,2016,1865,2829798742,itemtype-book-digital,10350524
33,DDC LCC,Dune,Book,"Herbert, Frank | Santos, Domingo [Translator] | Herbert, Frank [Author; Creator] | Clarke, Jason, 1969-",8956,391,2016,1956,364049,itemtype-book,1098868
34,DDC LCC,Eragon,eBook,"Paolini, Christopher | Komet, Silvia [Translator] | Hériz, Enrique de [Translator]",8869,262,2016,1925,224073,itemtype-book-digital,141418723
35,DDC LCC,A game of thrones,Book,"Martin, George R. R. | Macía, Cristina, 1965- [Translator; Author] | Cervera, Natalia [Translator; Author] | Ibañez, Adela [Translator] | Hodgman, John [Author of introduction] | Martin, George R. R. [Contributor; Author; Bibliographic antecedent]",8799,282,2017,1996,714709,itemtype-book,154505146
36,DDC,Harry Potter and the philosopher's stone,Book,"Rowling, J. K. | Dellepiane Rawson, Alicia [Translator] | Fritz, Klaus [Translator] | Ménard, Jean-François [Translator; Author] | Avendaño, Dolores [Illustrator] | Riglietti, Serena [Illustrator]",8660,743,2017,1997,298916,itemtype-book,150409902
37,DDC LCC,The voyages of Doctor Dolittle,eBook,"Lofting, Hugh, 1886-1947 | Corvino, Lucy [Illustrator] | McKowen, Scott [Illustrator] | Griswold, Jerome [Author of introduction] | Schmidt, Gary D. | Lofting, Hugh, 1886-1947 [Bibliographic antecedent]",8620,225,2015,1922,532294,itemtype-book-digital,12143552
38,DDC LCC,Mockingjay,eBook,"Collins, Suzanne",8593,143,2016,2008,4020415456,itemtype-book-digital,4927606383
39,DDC LCC,Tuck everlasting,Book,"Babbitt, Natalie",8486,198,2017,1975,370058,itemtype-book,123898793
40,DDC LCC,The little prince,Book,"Saint-Exupéry, Antoine de, 1900-1944 | Woods, Katherine, 1886-1968 [Translator; Illustrator]",8402,124,2009,1900,686123731,itemtype-book,11396045
41,DDC LCC,The Clan of the Cave Bear : a novel,Book,"Auel, Jean M. | Sandberg, Mechtild [Translator]",8382,282,2012,1980,196365481,itemtype-book,11927043
42,DDC LCC,Alice in Wonderland,DVD video,"Carroll, Lewis, 1832-1898",8195,478,2014,1900,1073173337,itemtype-video-dvd,10245471
43,DDC LCC,How the Grinch stole Christmas,Book,"Seuss, Dr. | Cohen, Charles D.",7922,140,2017,1957,58194,itemtype-book,14688318
44,DDC LCC,The phantom tollbooth,Book,"Juster, Norton, 1929- | Feiffer, Jules [Illustrator]",7760,179,2015,1900,395611,itemtype-book,11516368
45,DDC LCC,Charlie and the chocolate factory,Book,"Dahl, Roald | Blake, Quentin [Illustrator; Author] | Artl, Inge M. [Translator; Author; Creator] | Lenzen, Hans Georg, 1921-2014 [Translator]",7621,569,2016,1900,180282,itemtype-book,10224113
46,DDC LCC,Artemis Fowl : the lost colony,Book,"Colfer, Eoin",7595,70,2011,0920,2946058328,itemtype-book,227179371
47,DDC LCC,The time traveler's wife,Book,"Niffenegger, Audrey | Alemany, Silvia [Translator]",7586,270,2017,1465,196729856,itemtype-book,101527786
48,DDC LCC,The Dark is rising,Book,"Cooper, Susan, 1935- | Cober, Alan E. [Illustrator]",7572,158,2013,1939,437997,itemtype-book,10701462
49,DDC LCC,Lost horizon,Book,"Hilton, James, 1900-1954",7433,400,2016,1933,435446,itemtype-book,1023877
50,DDC LCC,Eldest,eBook,"Paolini, Christopher | Hériz, Enrique de [Translator] | Paolini, Christopher",7309,147,2014,2003,52468331,itemtype-book-digital,164211848
51,DDC LCC,The subtle knife,Book,"Pullman, Philip, 1946-",7282,190,2015,1845,2864073820,itemtype-book,156820793
52,DDC LCC,The story of Doctor Dolittle : being the history of his peculiar life at home and astonishing adventures in foreign parts,eBook,"Lofting, Hugh, 1886-1947 | Hague, Michael [Illustrator] | Kanzler, John, 1963- [Illustrator]",7262,428,2017,1910,2542459246,itemtype-book-digital,122928278
53,DDC LCC,The princess and the goblin,eBook,"MacDonald, George, 1824-1905 | Hughes, Arthur, 1832-1915 [Illustrator; Author] | Smith, Jessie Willcox, 1863-1935 [Illustrator] | DuPrau, Jeanne | Unwin, Nora S. 1907-1982 [Illustrator] | Le Guin, Ursula K., 1929- [Author of introduction]",7211,293,2017,1871,3455,itemtype-book-digital,1157897
54,DDC LCC,The mysterious stranger and other stories,eBook,"Twain, Mark, 1835-1910 | Roy J. Friedman Mark Twain Collection (Library of Congress) | Gibson, William M. 1912-1987 [Editor] | Wyeth, N. C. 1882-1945 [Illustrator] | Paine, Albert Bigelow, 1861-1937 [Editor] | Reiss, Edmund [Author]",7106,243,2017,1916,2973835409,itemtype-book-digital,10808223
55,DDC LCC,The amber spyglass,Book,"Pullman, Philip, 1946-",7004,180,2014,1000,298917,itemtype-book,173716979
56,DDC LCC,Peter Pan,eAudiobook,"Barrie, J. M. (James Matthew), 1860-1937",6939,360,2016,1859,69021,itemtype-audiobook-digital,10250534
57,DDC LCC,Alice through the looking-glass,Book,"Carroll, Lewis, 1832-1898 | Oxenbury, Helen [Illustrator] | Newell, Peter, 1862-1924 [Illustrator] | Carroll, Lewis, 1832-1898 [Associated name; Author; Creator; Bibliographic antecedent] | McManus, Blanche, 1869-1935 [Illustrator] | Birnbaum, Uriel, 1894-1956 [Illustrator]",6815,729,2017,1010,3768521203,itemtype-book,1002744
58,DDC LCC,A clash of kings,Book,"Martin, George R. R. | Macía, Cristina, 1965- [Translator; Author] | Ibañez, Adela [Translator; Author] | Cuervo, Alejo, [Translator] | Cervera, Natalia [Translator; Author] | Candeias, Jorge, [Translator]",6778,182,2017,1996,3874203448,itemtype-book,222165290
59,DDC LCC,The grey king,Book,"Cooper, Susan, 1935-",6735,131,2010,1973,2176221,itemtype-book,10223094
60,DDC LCC,The gunslinger,Book,"King, Stephen, 1947- | Whelan, Michael, 1950- [Illustrator]",6624,196,2017,1976,659528,itemtype-book,10602151
61,DDC LCC,A wizard of earthsea,Book,"Le Guin, Ursula K., 1929- | Robbins, Ruth [Illustrator] | Horne, Matilde [Translator] | Ogrizek, Dušan, 1940- [Translator; Author of introduction]",6532,266,2017,1968,390017,itemtype-book,1210
62,DDC LCC,Wicked : the life and times of the wicked witch of the West : a novel,Book,"Maguire, Gregory | Smith, Douglas [Illustrator]",6488,95,2011,1993,650395,itemtype-book,132250155
63,DDC LCC,Out of the silent planet,Book,"Lewis, C. S. (Clive Staples), 1898-1963",6471,253,2013,1900,62685002,itemtype-book,10356783
64,DDC LCC,The hero and the crown,Book,"McKinley, Robin",6397,62,2014,1981,15006,itemtype-book,10505529
65,DDC LCC,The high king,Book,"Alexander, Lloyd",6237,102,2017,1964,3901078126,itemtype-book,122946978
66,DDC LCC,The hobbit,Audiobook on CD,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",6131,249,2017,1900,62436802,itemtype-audiobook-cd,10521192
67,DDC LCC,Ella enchanted,Book,"Levine, Gail Carson",6129,100,2013,1977,51020,itemtype-book,232670338
68,DDC LCC,Fantastic beasts and where to find them,Book,"Scamander, Newt | Minalima Design (Firm) [Illustrator] | Buddingh', Wiebe, 1957- [Translator] | Dellepiane Rawson, Alicia [Translator] | Ménard, Jean-François [Translator]",6094,110,2017,2000,884179,itemtype-book,123114966
69,DDC LCC,The neverending story,Book,"Ende, Michael | Quadflieg, Roswitha [Associated name; Illustrator; Translator; Other]",6088,574,2017,1978,2284678367,itemtype-book,10727134
70,DDC LCC,The Field Guide,Book,"DiTerlizzi, Tony | Black, Holly [Author]",5887,97,2015,2003,528201,itemtype-book,154662666
71,DDC LCC,A feast for crows,Book,"Martin, George R. R.",5850,109,2017,1984,3071094,itemtype-book,148892884
72,DDC LCC,A storm of swords,Book,"Martin, George R. R.",5805,114,2014,2000,738676,itemtype-book,123433740
73,DDC LCC,The waste lands,Book,"King, Stephen, 1947- | Dameron, Ned [Illustrator]",5800,100,2016,1981,702146,itemtype-book,24318859
74,DDC LCC,The black cauldron.,Book,"Alexander, Lloyd",5783,119,2015,1956,364639,itemtype-book,11264041
