docid	diff	firstpub	author	title
wu.89008854226_2	0.0222702364733	1939	Gunnarsson, Gunnar	Ships in the sky, | $c: compiled from Uggi Greipsson's notes, by Gunnar Gunnarsson.
nyp.33433011064833	0.956381167295	1910	Caldwell, Frank	Wolf the storm leader
wu.89095286852_0	0.409958735333	1924	Scharten, C. Th. (Carel Theodorus)	A house full of people / | $c: by E. and M. Scharten-Antink.
mdp.39015008724810_0	-0.206396137744	1914	Locke, George Herbert	Worlds apart; | an anthology in facsimile.
uc1.$b312872_1	-0.382144426468	1929	Wright, S. Fowler (Sydney Fowler)	The world below. | $c: With an introd. by Everett F. Bleiler.
nyp.33433074807763_1	0.657164927971	1911	Fenn, Robert	The hidden empire
uc2.ark+=13960=t45q4v56p_0	-0.706366971285	1920	Locke, William John	The house of Baltazar
uc1.32106002093380_1	0.670424778674	1928	Burroughs, Edgar Rice	Three Martian novels: Thuvia, maid of Mars. The chessmen of Mars. The master mind of Mars.
uc1.$b119732_0	0.697017505262	1933	Collier, John	Full circle, | a tale. | $c: by John Collier.
njp.32101069166427_1	-0.118489436613	1911	Greene, Sarah Pratt McLean	The long green road
uc2.ark+=13960=t3125rf7t_2	-0.373785388724	1921	Dell, Floyd	The briary-bush
nyp.33433075746895_0	-0.0888978115215	1911	Serviss, Garrett Putman	A Columbus of space
uc2.ark+=13960=t4cn71p8r_1	0.618065323713	1920	Bazin, Ren??	Pierre & Joseph
coo.31924022307601_1	0.853810998467	1917	Burroughs, Edgar Rice	Tarzan of the Apes
mdp.39015062086791_0	0.0920123273109	1923	Tolstoy, Aleksey Nikolayevich, graf	Aelita, or, The decline of Mars
mdp.39015019402885_0	-0.684393154243	1934	Mitchell, James Leslie	Gay hunter
uc2.ark+=13960=t8mc8t512_0	-0.839447726417	1921	Lydston, G. Frank	Trusty five-fifteen
uc1.b4091432_1	0.975021622883	1920	Lamb, Harold	Marching sands
loc.ark+=13960=t20c5jg2w	-0.393391510235	1911	Turtle, Mary McArthur (Thompson)	Follow the gleam
uc1.$b312400	0.0248998077003	1930	Ritchie, Alice	Occupied territory | $c: [by] Alice Ritchie.
