docid	diff	firstpub	author	tags	title
inu.32000014416269	-0.992874483138	1952	Salmon, E. Marling	random	Beyond the call of duty : | African deeds of bravery in wartime.
inu.32000009177983_1	-0.0483570320223	1954	English, Isobel	random	The key that rusts.
uc1.$b799823_0	0.459611071661	1946	Hough, Donald	sf_loc	The camelephamoose | $c: [by] Donald Hough.
mdp.39015002288721_1	0.102407096186	1951	Asimov, Isaac	sf_oclc	The stars, like dust.
mdp.39015005754794	0.0186338078271	1944	Bulosan, Carlos	random	The laughter of my father, | $c: by Carlos Bulosan.
osu.32435053573192	-0.124034569613	1950	Fischer, Leonard	sf_oclc	Let out the beast
mdp.39015046832849_0	0.853360936544	1954	Pangborn, Edgar	sf_oclc	A mirror for observers.
mdp.39015003472407_0	0.0933182970407	1956	Auchincloss, Louis	random	The great world and Timothy Colt.
uc1.$b103191_0	-0.379892084685	1952	Montague, Kate Bigelow	random	Send the wise wind.
uc1.$b802703	0.120248022585	1933	Claudy, C. H. (Carl Harry)	sf_oclc	The land of no shadow, | $c: by Carl H. Claudy. Illustrated by A.C. Valentine.
mdp.39015008828157_0	-0.183122611537	1950	Vance, Jack	sf_oclc|fantasy_oclc	The dying earth
uc1.b3541070_3	0.0306270002895	1946	Conklin, Groff	sf_loc	The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr.
mdp.39015000957574_1	-0.0292111859299	1952	Asimov, Isaac	sf_oclc	Foundation and empire.
mdp.39015061465624_2	0.124485820508	1946	nan	sf_oclc|fantasy_loc	Famous fantastic mysteries : | 30 great tales of fantasy and horror from the classic pulp magazines Famous fantastic mysteries & Fantastic novels
uc1.$b242576_0	0.344806916163	1957	Fane, Julian	random	Morning.
uc1.$b100790_1	0.136152402114	1954	Harwood, Alice	random	The strangeling, | a Victorian novel.
osu.32435053308334	-0.0694420219218	1959	Christopher, John	sf_oclc	Planet in peril
osu.32435063296008_0	0.904124409362	1942	Boucher, Anthony	sf_oclc	Rocket to the morgue 
pst.000003806074_1	0.396491473652	1953	Mills, Robert P	sf_oclc|sf_loc	The worlds of science fiction.
uc1.$b601378_0	0.844850948467	1947	Haines, William Wister	sf_oclc	Command decision, | $c: by William Wister Haines ...
mdp.39015006398542_2	0.732744780681	1946	Donovan, Frank Pierce	random	Headlights and markers; | an anthology of railroad stories, | $c: edited by Frank P. Donovan, jr., and Robert Selph Henry. New York, Creative age press, inc. _1946_
mdp.39015000957574_0	-0.0200515821673	1952	Asimov, Isaac	sf_oclc	Foundation and empire.
mdp.49015001393561_1	0.0563598342174	1958	Silverberg, Robert	sf_loc	The collected stories of Robert Silverberg.
osu.32435064818578_0	-0.0670352383373	1946	Dern, Peggy	random	Heart's home / | $c: by Peggy Dern.
uc1.32106001693032_1	-0.0178217142181	1952	nan	sf_loc	The Astounding science fiction anthology, | $c: selected and with an introduction by John W. Campbell, jr.
mdp.39015011249755_0	-0.15392434433	1938	Asimov, Isaac	sf_loc	Before the Golden Age; | a science fiction anthology of the 1930s.
mdp.39015030699121_1	0.200186658844	1950	Rich, Louise Dickinson	random	My neck of the woods.
osu.32435057545741	-0.456095315557	1946	Wellman, Manly Wade	sf_oclc	The solar invasion
uc1.32106014315219_0	0.0275727843226	1931	Charteris, Leslie	random	The last hero.
mdp.39015014165461_2	-0.0587363886917	1948	nan	sf_loc	A treasury of science fiction
mdp.39015046832849_1	0.698215663889	1954	Pangborn, Edgar	sf_oclc	A mirror for observers.
uc1.$b312023_0	0.968708472259	1952	Romains, Jules	sf_oclc	Tussles with time. | $c: Translated by Gerard Hopkins.
mdp.39076005189357_2	0.649763161615	1949	Boucher, Anthony	sf_loc	A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.
uc1.b3347098_0	-0.240174425854	1954	Shafer, Robert Jones	sf_oclc	The conquered place.
