name	size	floor	ceiling	meandate	accuracy	features	regularization	i
sfnojuv1800to1899v0	75	1800	1899	1875	0.866666666667	1200	0.006	0
sfnojuv1800to1899v1	75	1800	1899	1875	0.886666666667	1600	0.7	1
sfnojuv1800to1899v2	75	1800	1899	1876	0.886666666667	1000	0.1	2
sfnojuv1800to1899v3	75	1800	1899	1875	0.9	2000	12	3
sfnojuv1800to1899v4	75	1800	1899	1873	0.873333333333	4000	0.02	4
sfnojuv1900to1919v0	75	1900	1919	1908	0.9	1400	0.1	0
sfnojuv1900to1919v1	75	1900	1919	1908	0.886666666667	2200	0.001	1
sfnojuv1900to1919v2	75	1900	1919	1908	0.906666666667	3600	0.1	2
sfnojuv1900to1919v3	75	1900	1919	1909	0.886666666667	4800	0.001	3
sfnojuv1900to1919v4	75	1900	1919	1909	0.906666666667	3600	0.7	4
sfnojuv1920to1949v0	75	1920	1949	1936	0.913333333333	5000	3	0
sfnojuv1920to1949v1	75	1920	1949	1937	0.893333333333	4000	3	1
sfnojuv1920to1949v2	75	1920	1949	1937	0.9	1400	3	2
sfnojuv1920to1949v3	75	1920	1949	1935	0.906666666667	1000	0.1	3
sfnojuv1920to1949v4	75	1920	1949	1935	0.913333333333	1000	0.02	4
sfnojuv1950to1969v0	75	1950	1969	1960	0.933333333333	4600	0.7	0
sfnojuv1950to1969v1	75	1950	1969	1960	0.913333333333	5000	0.1	1
sfnojuv1950to1969v2	75	1950	1969	1959	0.913333333333	2800	0.001	2
sfnojuv1950to1969v3	75	1950	1969	1959	0.913333333333	4000	3	3
sfnojuv1950to1969v4	75	1950	1969	1959	0.9	1600	3	4
sfnojuv1970to1979v0	75	1970	1979	1974	0.893333333333	1200	3	0
sfnojuv1970to1979v1	75	1970	1979	1974	0.913333333333	2000	0.001	1
sfnojuv1970to1979v2	75	1970	1979	1974	0.893333333333	1600	0.02	2
sfnojuv1970to1979v3	75	1970	1979	1975	0.906666666667	2800	0.7	3
sfnojuv1970to1979v4	75	1970	1979	1974	0.933333333333	1400	0.006	4
sfnojuv1980to1989v0	75	1980	1989	1985	0.966666666667	3200	3	0
sfnojuv1980to1989v1	75	1980	1989	1985	0.96	2800	0.7	1
sfnojuv1980to1989v2	75	1980	1989	1985	0.933333333333	1400	12	2
sfnojuv1980to1989v3	75	1980	1989	1985	0.953333333333	3600	3	3
sfnojuv1980to1989v4	75	1980	1989	1985	0.966666666667	3400	0.7	4
sfnojuv1990to1999v0	75	1990	1999	1994	0.846666666667	3000	12	0
sfnojuv1990to1999v1	75	1990	1999	1994	0.88	4400	12	1
sfnojuv1990to1999v2	75	1990	1999	1995	0.873333333333	3800	0.02	2
sfnojuv1990to1999v3	75	1990	1999	1994	0.853333333333	4200	12	3
sfnojuv1990to1999v4	75	1990	1999	1995	0.886666666667	3400	12	4
sfnojuv2000to2010v0	75	2000	2010	2004	0.88	1400	0.02	0
sfnojuv2000to2010v1	75	2000	2010	2004	0.9	1200	0.1	1
sfnojuv2000to2010v2	75	2000	2010	2004	0.873333333333	1400	0.006	2
sfnojuv2000to2010v3	75	2000	2010	2004	0.893333333333	5000	0.0003	3
sfnojuv2000to2010v4	75	2000	2010	2004	0.853333333333	3800	0.001	4
