name	size	floor	ceiling	meandate	accuracy	features	regularization	i
sfperiods21800to1899v0	75	1800	1899	1876.42	0.853333333333	3000	0.006	0
sfperiods21800to1899v1	75	1800	1899	1871.70666667	0.866666666667	3600	3	1
sfperiods21800to1899v2	75	1800	1899	1873.51333333	0.9	3000	0.02	2
sfperiods21850to1909v0	75	1850	1909	1888.70666667	0.853333333333	1500	0.02	0
sfperiods21850to1909v1	75	1850	1909	1888.46	0.886666666667	2700	0.006	1
sfperiods21850to1909v2	75	1850	1909	1890.35333333	0.906666666667	4200	0.02	2
sfperiods21900to1919v0	75	1900	1919	1908.63333333	0.88	2100	0.006	0
sfperiods21900to1919v1	75	1900	1919	1908.38666667	0.86	3600	0.0003	1
sfperiods21900to1919v2	75	1900	1919	1908.45333333	0.906666666667	2100	3	2
sfperiods21910to1945v0	75	1910	1945	1924.24666667	0.88	2400	0.1	0
sfperiods21910to1945v1	75	1910	1945	1925.20666667	0.84	900	0.02	1
sfperiods21910to1945v2	75	1910	1945	1925.53333333	0.873333333333	2100	0.006	2
sfperiods21920to1949v0	75	1920	1949	1934.56	0.886666666667	4200	0.1	0
sfperiods21920to1949v1	75	1920	1949	1936.04666667	0.9	900	0.006	1
sfperiods21920to1949v2	75	1920	1949	1935.44666667	0.893333333333	3600	3	2
sfperiods21930to1965v0	75	1930	1965	1951.78666667	0.92	2700	0.02	0
sfperiods21930to1965v1	75	1930	1965	1950.81333333	0.913333333333	1800	0.7	1
sfperiods21930to1965v2	75	1930	1965	1950.43333333	0.933333333333	1200	12	2
sfperiods21950to1969v0	75	1950	1969	1958.79333333	0.913333333333	4200	0.1	0
sfperiods21950to1969v1	75	1950	1969	1960.01333333	0.9	900	0.1	1
sfperiods21950to1969v2	75	1950	1969	1959.23333333	0.92	3900	0.7	2
sfperiods21960to1975v0	75	1960	1975	1968.17333333	0.92	1200	0.006	0
sfperiods21960to1975v1	75	1960	1975	1968.01333333	0.913333333333	900	0.1	1
sfperiods21960to1975v2	75	1960	1975	1968.38666667	0.893333333333	3000	0.1	2
sfperiods21970to1979v0	75	1970	1979	1974.29333333	0.906666666667	2700	0.006	0
sfperiods21970to1979v1	75	1970	1979	1974.18666667	0.92	1500	0.006	1
sfperiods21970to1979v2	75	1970	1979	1974.44	0.906666666667	1500	0.7	2
sfperiods21974to1986v0	75	1974	1986	1979.76666667	0.92	5100	0.006	0
sfperiods21974to1986v1	75	1974	1986	1979.68	0.926666666667	3600	0.7	1
sfperiods21974to1986v2	75	1974	1986	1979.82666667	0.933333333333	5100	3	2
sfperiods21980to1989v0	75	1980	1989	1984.63333333	0.96	1800	3	0
sfperiods21980to1989v1	75	1980	1989	1984.6	0.96	900	12	1
sfperiods21980to1989v2	75	1980	1989	1984.58666667	0.94	2400	0.7	2
sfperiods21984to1996v0	75	1984	1996	1989.92666667	0.966666666667	1800	0.1	0
sfperiods21984to1996v1	75	1984	1996	1989.90666667	0.946666666667	2100	0.006	1
sfperiods21984to1996v2	75	1984	1996	1989.93333333	0.906666666667	1200	0.7	2
sfperiods21990to1999v0	75	1990	1999	1994.38666667	0.833333333333	4500	0.7	0
sfperiods21990to1999v1	75	1990	1999	1994.63333333	0.866666666667	5400	0.02	1
sfperiods21990to1999v2	75	1990	1999	1994.22666667	0.873333333333	3900	0.7	2
sfperiods21994to2006v0	75	1994	2006	2000.43333333	0.833333333333	4200	3	0
sfperiods21994to2006v1	75	1994	2006	1999.84666667	0.913333333333	4500	0.0003	1
sfperiods21994to2006v2	75	1994	2006	1999.90666667	0.893333333333	3600	12	2
sfperiods22000to2010v0	75	2000	2010	2004.19333333	0.906666666667	1200	0.006	0
sfperiods22000to2010v1	75	2000	2010	2004.11333333	0.926666666667	1800	0.1	1
sfperiods22000to2010v2	75	2000	2010	2003.94	0.88	5100	0.006	2
sfperiods21800to1899v0	75	1800	1899	1877.12	0.853333333333	900	0.02	0
sfperiods21800to1899v1	75	1800	1899	1877.66	0.853333333333	2400	12	1
sfperiods21850to1909v0	75	1850	1909	1888.05333333	0.86	2400	0.006	0
sfperiods21850to1909v1	75	1850	1909	1887.56	0.846666666667	3600	0.7	1
sfperiods21900to1919v0	75	1900	1919	1908.8	0.873333333333	2100	0.006	0
sfperiods21900to1919v1	75	1900	1919	1908.21333333	0.926666666667	1500	0.006	1
sfperiods21910to1945v0	75	1910	1945	1926.46666667	0.86	3900	12	0
sfperiods21910to1945v1	75	1910	1945	1926.44666667	0.853333333333	2100	0.0003	1
sfperiods21920to1949v0	75	1920	1949	1935.28666667	0.913333333333	5700	12	0
sfperiods21920to1949v1	75	1920	1949	1935.16	0.886666666667	1200	3	1
sfperiods21930to1965v0	75	1930	1965	1951.29333333	0.893333333333	2700	12	0
sfperiods21930to1965v1	75	1930	1965	1951.34	0.9	2400	0.7	1
sfperiods21950to1969v0	75	1950	1969	1959.75333333	0.953333333333	1800	12	0
sfperiods21950to1969v1	75	1950	1969	1959.34666667	0.96	1500	0.001	1
sfperiods21960to1975v0	75	1960	1975	1968.05333333	0.906666666667	1200	0.02	0
sfperiods21960to1975v1	75	1960	1975	1968.44666667	0.933333333333	3000	0.02	1
sfperiods21970to1979v0	75	1970	1979	1974.38	0.926666666667	1500	0.02	0
sfperiods21970to1979v1	75	1970	1979	1974.39333333	0.92	5100	0.7	1
sfperiods21974to1986v0	75	1974	1986	1979.57333333	0.92	3600	0.02	0
sfperiods21974to1986v1	75	1974	1986	1979.69333333	0.926666666667	2700	3	1
sfperiods21980to1989v0	75	1980	1989	1984.68	0.953333333333	5400	3	0
sfperiods21980to1989v1	75	1980	1989	1984.61333333	0.973333333333	2100	3	1
sfperiods21984to1996v0	75	1984	1996	1989.80666667	0.98	3900	12	0
sfperiods21984to1996v1	75	1984	1996	1989.83333333	0.926666666667	2700	12	1
sfperiods21990to1999v0	75	1990	1999	1994.28666667	0.886666666667	3600	0.006	0
sfperiods21990to1999v1	75	1990	1999	1994.47333333	0.866666666667	3600	12	1
sfperiods21994to2006v0	75	1994	2006	2000.2	0.88	3900	0.001	0
sfperiods21994to2006v1	75	1994	2006	2000.19333333	0.853333333333	4500	0.0003	1
sfperiods22000to2010v0	75	2000	2010	2004.07333333	0.866666666667	1500	0.0003	0
sfperiods22000to2010v1	75	2000	2010	2004.35333333	0.886666666667	1500	0.006	1
