name	size	floor	ceiling	meandate	accuracy	features	regularization	i
sf_vs_fantasy_periods21800to1899v0	70	1800	1899	1881	0.714285714286	4500	0.001	0
sf_vs_fantasy_periods21900to1919v0	70	1900	1919	1910	0.69298245614	2400	1e-05	0
sf_vs_fantasy_periods21920to1949v0	70	1920	1949	1936	0.778571428571	2400	1	0
sf_vs_fantasy_periods21950to1969v0	70	1950	1969	1961	0.785714285714	4200	0.0001	0
sf_vs_fantasy_periods21970to1979v0	70	1970	1979	1975	0.757142857143	1800	0.001	0
sf_vs_fantasy_periods21980to1989v0	70	1980	1989	1985	0.828571428571	4200	0.01	0
sf_vs_fantasy_periods21990to1999v0	70	1990	1999	1995	0.707142857143	3900	100	0
sf_vs_fantasy_periods22000to2010v0	70	2000	2010	2004	0.75	3000	10	0
sf_vs_fantasy_periods21800to1899v1	70	1800	1899	1881	0.764285714286	4800	0.1	1
sf_vs_fantasy_periods21900to1919v1	70	1900	1919	1910	0.728070175439	4500	0.001	1
sf_vs_fantasy_periods21920to1949v1	70	1920	1949	1936	0.764285714286	2700	0.001	1
sf_vs_fantasy_periods21950to1969v1	70	1950	1969	1960	0.764285714286	2100	0.001	1
sf_vs_fantasy_periods21970to1979v1	70	1970	1979	1975	0.785714285714	2400	1	1
sf_vs_fantasy_periods21980to1989v1	70	1980	1989	1984	0.764285714286	2400	1e-05	1
sf_vs_fantasy_periods21990to1999v1	70	1990	1999	1995	0.771428571429	5100	1	1
sf_vs_fantasy_periods22000to2010v1	70	2000	2010	2004	0.8	2700	0.01	1
sf_vs_fantasy_periods21800to1899v2	70	1800	1899	1881	0.778571428571	5100	0.001	2
sf_vs_fantasy_periods21900to1919v2	70	1900	1919	1910	0.684210526316	3300	1e-05	2
sf_vs_fantasy_periods21920to1949v2	70	1920	1949	1936	0.764285714286	2100	0.1	2
sf_vs_fantasy_periods21950to1969v2	70	1950	1969	1960	0.728571428571	2400	0.001	2
sf_vs_fantasy_periods21970to1979v2	70	1970	1979	1975	0.75	2700	0.01	2
sf_vs_fantasy_periods21980to1989v2	70	1980	1989	1984	0.735714285714	2100	1e-05	2
sf_vs_fantasy_periods21990to1999v2	70	1990	1999	1995	0.721428571429	5100	0.01	2
sf_vs_fantasy_periods22000to2010v2	70	2000	2010	2004	0.814285714286	1800	0.01	2
sf_vs_fantasy_periods21800to1899v3	70	1800	1899	1882	0.757142857143	5100	0.001	3
sf_vs_fantasy_periods21900to1919v3	70	1900	1919	1910	0.69298245614	3900	0.01	3
sf_vs_fantasy_periods21920to1949v3	70	1920	1949	1935	0.75	5100	100	3
sf_vs_fantasy_periods21950to1969v3	70	1950	1969	1960	0.785714285714	4800	0.1	3
sf_vs_fantasy_periods21970to1979v3	70	1970	1979	1975	0.814285714286	2100	0.1	3
sf_vs_fantasy_periods21980to1989v3	70	1980	1989	1985	0.75	4200	10	3
sf_vs_fantasy_periods21990to1999v3	70	1990	1999	1995	0.75	3900	1	3
sf_vs_fantasy_periods22000to2010v3	70	2000	2010	2004	0.821428571429	4500	100	3
sf_vs_fantasy_periods21800to1899v4	70	1800	1899	1881	0.735714285714	4200	1	4
sf_vs_fantasy_periods21900to1919v4	70	1900	1919	1910	0.684210526316	4200	10	4
sf_vs_fantasy_periods21920to1949v4	70	1920	1949	1936	0.807142857143	3300	10	4
sf_vs_fantasy_periods21950to1969v4	70	1950	1969	1960	0.764285714286	4800	1	4
sf_vs_fantasy_periods21970to1979v4	70	1970	1979	1975	0.771428571429	2400	0.01	4
sf_vs_fantasy_periods21980to1989v4	70	1980	1989	1984	0.792857142857	4200	10	4
sf_vs_fantasy_periods21990to1999v4	70	1990	1999	1995	0.692857142857	4200	0.0001	4
sf_vs_fantasy_periods22000to2010v4	70	2000	2010	2004	0.814285714286	3900	0.1	4
